codigo,nombre,creditos,semestre,requisitos,correquisitos,grupo,profesor,dia,hora_inicio,hora_fin
MA-0101,Matemática general,2,0,,,2,Vega Vasquez Arturo,J,09:30,11:20
MA-0101,Matemática general,2,0,,,2,Vega Vasquez Arturo,K,09:30,12:20
MA-0101,Matemática general,2,0,,,3,Cordero Quiros Marcial,J,13:00,14:50
MA-0101,Matemática general,2,0,,,3,Cordero Quiros Marcial,K,13:00,15:50
MA-0101,Matemática general,2,0,,,4,Jimenez Madrigal Jorge,J,15:00,17:50
MA-0101,Matemática general,2,0,,,4,Jimenez Madrigal Jorge,K,15:00,16:50
MA-0101,Matemática general,2,0,,,5,Rodriguez Castro Bryan,J,16:00,17:50
MA-0101,Matemática general,2,0,,,5,Rodriguez Castro Bryan,K,16:00,18:50
MA-0101,Matemática general,2,0,,,6,Cordero Quiros Marcial,J,18:00,19:50
MA-0101,Matemática general,2,0,,,6,Cordero Quiros Marcial,K,18:00,20:50
MA-0101,Matemática general,2,0,,,7,Sanchez Fernandez Ivonne,M,07:30,09:20
MA-0101,Matemática general,2,0,,,7,Sanchez Fernandez Ivonne,V,07:30,10:20
MA-0101,Matemática general,2,0,,,8,Marrero Calvo Marcela,M,09:30,12:20
MA-0101,Matemática general,2,0,,,8,Marrero Calvo Marcela,V,09:30,11:20
MA-0101,Matemática general,2,0,,,9,Quesada Villalobos Lourdes,M,13:00,15:50
MA-0101,Matemática general,2,0,,,9,Quesada Villalobos Lourdes,V,13:00,14:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,1,Quesada Villalobos Lourdes,J,07:30,09:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,1,Quesada Villalobos Lourdes,K,07:30,10:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,10,Fallas Monge Juan Jose,J,18:00,19:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,10,Fallas Monge Juan Jose,K,18:00,20:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,11,Paez Paez Cristian,M,07:30,09:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,11,Paez Paez Cristian,V,07:30,10:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,12,Jimenez Madrigal Jorge,M,07:30,10:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,12,Jimenez Madrigal Jorge,V,07:30,09:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,13,Parra Salazar Edward,M,10:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,13,Parra Salazar Edward,V,09:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,14,Mora Picado Luis Fernando,M,09:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,14,Mora Picado Luis Fernando,V,10:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,15,Nuñez Vanegas Felix,M,13:00,15:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,15,Nuñez Vanegas Felix,V,13:00,14:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,16,Mora Picado Luis Fernando,M,15:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,16,Mora Picado Luis Fernando,V,15:00,16:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,17,Gutierrez Montenegro Marco Vinicio,M,16:00,18:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,17,Gutierrez Montenegro Marco Vinicio,V,16:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,18,Parra Salazar Edward,M,17:00,19:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,18,Parra Salazar Edward,V,17:00,18:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,19,Mora Casasola Maria Fernanda,M,17:00,19:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,19,Mora Casasola Maria Fernanda,V,17:00,18:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,2,Cordero Quiros Marcial,J,07:30,10:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,2,Cordero Quiros Marcial,K,07:30,09:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,20,Lopez Mora Veronica,M,18:00,20:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,20,Lopez Mora Veronica,V,18:00,19:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,21,Jimenez Madrigal Jorge,S,07:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,3,Masis Flores David,J,09:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,3,Masis Flores David,K,09:30,11:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,4,Paez Paez Cristian,J,10:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,4,Paez Paez Cristian,K,09:30,12:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,5,Rodriguez Granados Natalia,J,13:00,14:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,5,Rodriguez Granados Natalia,K,13:00,15:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,6,Parra Salazar Edward,J,15:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,6,Parra Salazar Edward,K,15:00,16:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,7,Masis Flores David,J,16:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,7,Masis Flores David,K,16:00,18:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,8,Quesada Villalobos Lourdes,J,16:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,8,Quesada Villalobos Lourdes,K,15:00,17:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,9,Esquivel Samudio Jeison,J,17:00,18:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,9,Esquivel Samudio Jeison,K,17:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,1,Chavarria Molina Jeffry,J,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,1,Chavarria Molina Jeffry,K,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,10,Figueroa Mata Geovanni,J,18:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,10,Figueroa Mata Geovanni,K,18:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,11,Acuña Prado Luis,M,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,11,Acuña Prado Luis,V,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,12,Gutierrez Montenegro Marco Vinicio,M,09:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,12,Gutierrez Montenegro Marco Vinicio,V,09:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,13,Figueroa Mata Geovanni,M,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,13,Figueroa Mata Geovanni,V,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,14,Calderon Solano Manuel,M,15:00,16:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,14,Calderon Solano Manuel,V,15:00,16:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,15,Parra Rodriguez Emmanuelle,M,16:00,17:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,15,Parra Rodriguez Emmanuelle,V,16:00,17:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,16,Calderon Solano Manuel,M,17:00,18:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,16,Calderon Solano Manuel,V,17:00,18:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,17,Mora Picado Luis Fernando,M,18:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,17,Mora Picado Luis Fernando,V,18:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,18,Brenes Gomez Randall,S,07:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,19,Jimenez Madrigal Jorge,J,07:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,2,Chinchilla Valverde Jorge Luis,J,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,2,Chinchilla Valverde Jorge Luis,K,07:30,09:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,3,Chinchilla Valverde Jorge Luis,J,09:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,3,Chinchilla Valverde Jorge Luis,K,09:30,11:20
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,4,Chavarria Molina Jeffry,J,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,4,Chavarria Molina Jeffry,K,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,5,Jimenez Romero Alejandra,J,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,5,Jimenez Romero Alejandra,K,13:00,14:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,6,Figueroa Mata Geovanni,J,15:00,16:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,6,Figueroa Mata Geovanni,K,15:00,16:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,7,Brenes Gomez Randall,J,16:00,17:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,7,Brenes Gomez Randall,K,16:00,17:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,8,Gutierrez Montenegro Marco Vinicio,J,17:00,18:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,8,Gutierrez Montenegro Marco Vinicio,K,17:00,18:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,9,Alpizar Brenes Geisel,J,18:00,19:50
MA-1103,Cálculo y álgebra lineal,4,3,MA-1102,,9,Alpizar Brenes Geisel,K,18:00,19:50
MA-1403,Matemática discreta,4,1,,,1,Solis Arguedas Adriana,M,07:30,09:20
MA-1403,Matemática discreta,4,1,,,1,Solis Arguedas Adriana,V,07:30,09:20
MA-1403,Matemática discreta,4,1,,,2,Fallas Monge Juan Jose,M,09:30,11:20
MA-1403,Matemática discreta,4,1,,,2,Fallas Monge Juan Jose,V,09:30,11:20
MA-1403,Matemática discreta,4,1,,,3,Soto Quiros Juan Pablo,J,18:00,19:50
MA-1403,Matemática discreta,4,1,,,3,Soto Quiros Juan Pablo,K,18:00,19:50
MA-1403,Matemática discreta,4,1,,,4,Ramirez Arce Greivin,J,13:00,14:50
MA-1403,Matemática discreta,4,1,,,4,Ramirez Arce Greivin,K,13:00,14:50
MA-1403,Matemática discreta,4,1,,,5,Fallas Monge Juan Jose,J,15:00,16:50
MA-1403,Matemática discreta,4,1,,,5,Fallas Monge Juan Jose,K,15:00,16:50
MA-1403,Matemática discreta,4,1,,,6,Chaves Salas Leonel Rolando,M,07:30,09:20
MA-1403,Matemática discreta,4,1,,,6,Chaves Salas Leonel Rolando,V,07:30,09:20
MA-2404,Probabilidades,4,4,MA-1103,,1,Parra Rodriguez Emmanuelle,M,07:30,09:20
MA-2404,Probabilidades,4,4,MA-1103,,2,Parra Rodriguez Emmanuelle,V,07:30,09:20
MA-2404,Probabilidades,4,4,MA-1103,,3,Alvarado Solano Andy,K,17:00,18:50
MA-2404,Probabilidades,4,4,MA-1103,,4,Alvarado Solano Andy,J,17:00,18:50
MA-2404,Probabilidades,4,4,MA-1103,,5,Alvarado Solano Andy,K,15:00,16:50
MA-2404,Probabilidades,4,4,MA-1103,,6,Alvarado Solano Andy,J,15:00,16:50
TI-1102,Información contable,3,1,,,1,Umaña Centeno Gabriel,L,07:30,11:20
TI-1103,Modelos Organizacionales y Gestión de TI,3,1,,,1,Chavarria Sanchez Luis Javier,J,15:00,18:50
TI-1103,Modelos Organizacionales y Gestión de TI,3,1,,,2,Chavarria Sanchez Luis Javier,V,15:00,18:50
TI-1201,Comportamiento organizacional y talento humano,3,2,TI-1103,,1,Delgado Leandro Gonzalo,M,07:30,09:20
TI-1201,Comportamiento organizacional y talento humano,3,2,TI-1103,,2,Delgado Leandro Gonzalo,V,07:30,09:20
TI-1201,Comportamiento organizacional y talento humano,3,2,TI-1103,,3,Delgado Leandro Gonzalo,M,09:30,11:20
TI-1201,Comportamiento organizacional y talento humano,3,2,TI-1103,,4,Delgado Leandro Gonzalo,V,09:30,11:20
TI-1400,Introducción a la programación,3,1,,,1,Soto Chaves Luis Pablo,J,07:30,09:20
TI-1400,Introducción a la programación,3,1,,,1,Soto Chaves Luis Pablo,K,07:30,09:20
TI-1401,Taller de programación,3,1,,TI-1400,1,Soto Chaves Luis Pablo,J,09:30,11:20
TI-1401,Taller de programación,3,1,,TI-1400,1,Soto Chaves Luis Pablo,K,09:30,11:20
TI-2201,Programación orientada a objetos,3,4,TI-3600,,1,Chavarria Sanchez Luis Javier,J,07:30,09:20
TI-2201,Programación orientada a objetos,3,4,TI-3600,,1,Chavarria Sanchez Luis Javier,K,07:30,09:20
TI-2201,Programación orientada a objetos,3,4,TI-3600,,2,Chavarria Sanchez Luis Javier,J,09:30,11:20
TI-2201,Programación orientada a objetos,3,4,TI-3600,,2,Chavarria Sanchez Luis Javier,K,09:30,11:20
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,1,Soto Chaves Luis Pablo,J,13:00,14:50
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,1,Soto Chaves Luis Pablo,K,13:00,14:50
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,2,Solis Cespedes Jacqueline,J,13:00,14:50
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,2,Solis Cespedes Jacqueline,K,13:00,14:50
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,3,Artavia Jimenez Maria Jose,J,13:00,14:50
TI-2402,Algoritmos y estructuras de datos,4,2,TI-1400;TI-1401,,3,Artavia Jimenez Maria Jose,K,13:00,14:50
TI-2404,Organización y arquitectura de computadoras,3,2,TI-1401,,1,Segreda Johanning Juan Andres,K,15:00,18:50
TI-2404,Organización y arquitectura de computadoras,3,2,TI-1401,,2,Segreda Johanning Juan Andres,M,15:00,18:50
TI-2800,Administración de proyectos 1,3,3,TI-4500,,1,Picado Valverde Luis Felipe,K,17:00,20:50
TI-3103,Costos en ambientes informáticos,3,3,TI-1102,,1,Delgado Leandro Gonzalo,L,07:30,11:20
TI-3103,Costos en ambientes informáticos,3,3,TI-1102,,2,Morales Rodriguez Nestor,L,07:30,11:20
TI-3600,Bases de datos,3,3,MA-1403;TI-2402,,1,Solis Cespedes Jacqueline,J,15:00,16:50
TI-3600,Bases de datos,3,3,MA-1403;TI-2402,,1,Solis Cespedes Jacqueline,K,15:00,16:50
TI-3801,Administración de proyectos 2,3,4,TI-2800,,1,Picado Valverde Luis Felipe,M,17:00,20:50
TI-3801,Administración de proyectos 2,3,4,TI-2800,,2,Gamboa Cubero Luis Mauricio,M,17:00,20:50
TI-4101,Planificación y presupuesto,2,4,TI-3103,,1,Delgado Leandro Gonzalo,L,07:30,11:20
TI-4101,Planificación y presupuesto,2,4,TI-3103,,2,Tencio Chacon Angela,K,18:00,21:50
TI-4200,Economía,3,3,MA-1102,,1,Torres Carballo Federico,L,18:00,21:50
TI-4500,Ingeniería de requerimientos,3,2,TI-1400,,1,Morales Rodriguez Nestor,M,13:00,14:50
TI-4500,Ingeniería de requerimientos,3,2,TI-1400,,1,Morales Rodriguez Nestor,V,13:00,14:50
TI-4500,Ingeniería de requerimientos,3,2,TI-1400,,2,Morales Rodriguez Nestor,J,07:30,09:20
TI-4500,Ingeniería de requerimientos,3,2,TI-1400,,2,Morales Rodriguez Nestor,K,07:30,09:20
TI-4601,Bases de datos avanzados,4,4,TI-3600,,1,Zuñiga Segura Lorena,M,08:30,12:20
TI-4601,Bases de datos avanzados,4,4,TI-3600,,2,Zuñiga Segura Lorena,V,08:30,12:20
TI-4601,Bases de datos avanzados,4,4,TI-3600,,3,Zumbado Corrales Manuel,M,08:30,12:20
